"muni_county_2016","hindi","MCD_FIPS"
"TOWN OF MENTOR CLARK","10040",5501951125
"TOWN OF PINE VALLEY CLARK","10042",5501963000
"TOWN OF RESEBURG CLARK","10044",5501967025
"TOWN OF SEIF CLARK","10046",5501972450
"TOWN OF SHERMAN CLARK","10048",5501973350
"TOWN OF SHERWOOD CLARK","10050",5501973550
"TOWN OF THORP CLARK","10052",5501979650
"TOWN OF UNITY CLARK","10054",5501981850
"TOWN OF WARNER CLARK","10056",5501983350
"TOWN OF WASHBURN CLARK","10058",5501983575
"TOWN OF WESTON CLARK","10060",5501985925
"TOWN OF WITHEE CLARK","10062",5501988300
"TOWN OF WORDEN CLARK","10064",5501989125
"TOWN OF YORK CLARK","10066",5501989425
"VILLAGE OF CURTISS CLARK","10111",5501918125
"VILLAGE OF DORCHESTER CLARK","10116",5501920450
"VILLAGE OF GRANTON CLARK","10131",5501930425
"VILLAGE OF UNITY CLARK","10186",NA
"VILLAGE OF WITHEE CLARK","10191",5501988275
"CITY OF ABBOTSFORD CLARK","10201",5501900100
"CITY OF COLBY CLARK","10211",5501916150
"CITY OF GREENWOOD CLARK","10231",5501931575
"CITY OF LOYAL CLARK","10246",5501946075
"CITY OF NEILLSVILLE CLARK","10261",5501955800
"CITY OF NEILLSVILLE CLARK","10261",5501955800
"CITY OF NEILLSVILLE CLARK","10261",5501955800
"CITY OF NEILLSVILLE CLARK","10261",5501955800
"CITY OF NEILLSVILLE CLARK","10261",5501955800
"CITY OF OWEN CLARK","10265",5501960825
"CITY OF STANLEY CLARK","10281",NA
"CITY OF STANLEY CLARK","10281",NA
"CITY OF THORP CLARK","10286",5501979625
"TOWN OF ARLINGTON COLUMBIA","11002",5502102825
"TOWN OF CALEDONIA COLUMBIA","11004",5502111900
"TOWN OF COLUMBUS COLUMBIA","11006",5502116475
"TOWN OF COURTLAND COLUMBIA","11008",5502117325
"TOWN OF DEKORRA COLUMBIA","11010",5502119375
"TOWN OF FORT WINNEBAGO COLUMBIA","11012",5502126725
"TOWN OF FOUNTAIN PRAIRIE COLUMBIA","11014",5502126875
"TOWN OF HAMPDEN COLUMBIA","11016",5502132375
"TOWN OF LEEDS COLUMBIA","11018",5502143125
"TOWN OF LEWISTON COLUMBIA","11020",5502143775
"TOWN OF LODI COLUMBIA","11022",5502145375
"TOWN OF LOWVILLE COLUMBIA","11024",5502146050
"TOWN OF MARCELLON COLUMBIA","11026",5502149150
"TOWN OF NEWPORT COLUMBIA","11028",5502157025
"TOWN OF OTSEGO COLUMBIA","11030",5502160687
"TOWN OF PACIFIC COLUMBIA","11032",5502160925
"TOWN OF RANDOLPH COLUMBIA","11034",5502166175
"TOWN OF SCOTT COLUMBIA","11036",5502172250
"TOWN OF SPRINGVALE COLUMBIA","11038",5502176225
"TOWN OF WEST POINT COLUMBIA","11040",5502186100
"TOWN OF WYOCENA COLUMBIA","11042",5502189325
"VILLAGE OF ARLINGTON COLUMBIA","11101",5502102800
"VILLAGE OF CAMBRIA COLUMBIA","11111",5502112200
"VILLAGE OF DOYLESTOWN COLUMBIA","11116",5502120775
"VILLAGE OF FALL RIVER COLUMBIA","11126",5502125150
"VILLAGE OF FRIESLAND COLUMBIA","11127",5502128000
"VILLAGE OF PARDEEVILLE COLUMBIA","11171",5502161100
"VILLAGE OF POYNETTE COLUMBIA","11172",5502164900
"VILLAGE OF RANDOLPH COLUMBIA","11176",NA
"VILLAGE OF RIO COLUMBIA","11177",5502168100
"VILLAGE OF WYOCENA COLUMBIA","11191",5502189300
"CITY OF COLUMBUS COLUMBIA","11211",5502116450
"CITY OF LODI COLUMBIA","11246",5502145350
"CITY OF PORTAGE COLUMBIA","11271",5502164100
"CITY OF PORTAGE COLUMBIA","11271",5502164100
"CITY OF PORTAGE COLUMBIA","11271",5502164100
"CITY OF WISCONSIN DELLS COLUMBIA","11291",5502188150
"TOWN OF BRIDGEPORT CRAWFORD","12002",5502309550
"TOWN OF CLAYTON CRAWFORD","12004",5502315075
"TOWN OF EASTMAN CRAWFORD","12006",5502321925
"TOWN OF FREEMAN CRAWFORD","12008",5502327700
"TOWN OF HANEY CRAWFORD","12010",5502332500
"TOWN OF MARIETTA CRAWFORD","12012",5502349275
"TOWN OF PRAIRIE DU CHIEN CRAWFORD","12014",5502365075
"TOWN OF SCOTT CRAWFORD","12016",5502372275
"TOWN OF SENECA CRAWFORD","12018",5502372500
"TOWN OF UTICA CRAWFORD","12020",5502382100
"TOWN OF WAUZEKA CRAWFORD","12022",5502384750
"VILLAGE OF BELL CENTER CRAWFORD","12106",5502306225
"VILLAGE OF DE SOTO CRAWFORD","12116",NA
"VILLAGE OF EASTMAN CRAWFORD","12121",5502321900
"VILLAGE OF FERRYVILLE CRAWFORD","12126",5502325725
"VILLAGE OF GAYS MILLS CRAWFORD","12131",5502328450
"VILLAGE OF LYNXVILLE CRAWFORD","12146",5502346675
"VILLAGE OF MT. STERLING CRAWFORD","12151",5502354900
"VILLAGE OF SOLDIERS GROVE CRAWFORD","12181",5502374550
"VILLAGE OF STEUBEN CRAWFORD","12182",5502377175
"VILLAGE OF WAUZEKA CRAWFORD","12191",5502384725
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"CITY OF PRAIRIE DU CHIEN CRAWFORD","12271",5502365050
"TOWN OF ALBION DANE","13002",5502500875
"TOWN OF BERRY DANE","13004",5502507025
"TOWN OF BLACK EARTH DANE","13006",5502507825
"TOWN OF BLOOMING GROVE DANE","13008",5502508350
"TOWN OF BLUE MOUNDS DANE","13010",5502508500
"TOWN OF BRISTOL DANE","13012",5502509775
"TOWN OF BURKE DANE","13014",5502511150
"TOWN OF CHRISTIANA DANE","13016",5502514650
"TOWN OF COTTAGE GROVE DANE","13018",5502517200
"TOWN OF COTTAGE GROVE DANE","13018",5502517200
"TOWN OF CROSS PLAINS DANE","13020",5502517800
"TOWN OF DANE DANE","13022",5502518700
"TOWN OF DEERFIELD DANE","13024",5502519275
"TOWN OF DUNKIRK DANE","13026",5502521100
"TOWN OF DUNKIRK DANE","13026",5502521100
"TOWN OF DUNN DANE","13028",5502521125
"TOWN OF MADISON DANE","13032",5502548000
"TOWN OF MADISON DANE","13032",5502548000
"TOWN OF MAZOMANIE DANE","13034",5502550225
"TOWN OF MEDINA DANE","13036",5502550475
"TOWN OF MIDDLETON DANE","13038",5502551600
"TOWN OF MONTROSE DANE","13040",5502554100
"TOWN OF OREGON DANE","13042",5502560225
"TOWN OF PERRY DANE","13044",5502562050
