county,Total Voter Reg,TotalTurnout_2016,Hillary Clinton_2016,Donald J. Trump_2016,other_2016,Total_2016,HRCmargin_2016,change%_D,change%_R,change%_other,change%_Total,HRC%_2016,DJT%_2016,other%_2016,County%_2016,Dwin_2016 (1=Dem win),Switch (1=switch),Method_2016.1paperonly.2.paper.machine.combo,Obama_2012,Romney_2012,Others_2012,Total_2012,BHO%_2012,MR%_2012,other%_2012,County_2012,Dwin_2012,"Method_2012 (1=paper only, 2=paper and machine combo)",pop_2014_est,pop_voterage_2014_est_calc,pop_2010_real,%under18_2013,%whitewithlatino_2013,%blackonly_2013,pop_blackonly_2013_calc,%whitenolatino_2013,pop_whitenolatino_2013_calc,pop_nonwhite_2013_calc,%_collegedegreepersons25+_2013,pop_collegedegreepersons25+_2013_calc,ratio_white_nonwhite,ratio_white_black,ratio_nocollege_college,medianhouseholdincome_2009-2013,pop_sq_mile_2010
Columbia,34751,84.28%,"13,525","14,160",1602,"29,287",-635,-21.25%,8.71%,253.64%,-4.46%,46.18%,48.35%,5.47%,0.99%,0,1,1,"17,175","13,026",453,"30,654",56.03%,42.49%,1.48%,1.00%,1,1,56615,43763,56833,22.7,96.2,1.4,613,93.8,41050,2713,21.3,9322,15.1,67,3.7,57922,74.2
Chippewa,36107,87.16%,"11,875","17,912",1684,"31,471",-6037,-22.06%,16.90%,351.47%,1.74%,37.73%,56.92%,5.35%,1.07%,0,0,2,"15,237","15,322",373,"30,932",49.26%,49.53%,1.21%,1.01%,0,2,63460,48928,62415,22.9,95.4,1.5,734,94.3,46139,2789,18.6,9101,16.5,62.9,4.4,50551,61.9
Sauk,37195,91.00%,"16,050","15,871",1927,"33,848",179,-14.34%,23.63%,445.89%,6.02%,47.42%,46.89%,5.69%,1.15%,1,0,1,"18,736","12,838",353,"31,927",58.68%,40.21%,1.11%,1.04%,1,2,63379,48675,61976,23.2,95.9,0.8,389,91.7,44635,4040,21,10222,11,114.6,3.8,52140,74.6
Wood,43433,86.83%,"14,232","21,502",1978,"37,712",-7270,-23.41%,9.13%,221.63%,-3.05%,37.74%,57.02%,5.25%,1.28%,0,0,1,"18,581","19,704",615,"38,900",47.77%,50.65%,1.58%,1.27%,0,1,73608,57414,74749,22,95.5,0.7,402,93.3,53567,3847,18.8,10794,13.9,133.3,4.3,47685,94.2
Portage,46378,82.20%,"18,524","17,310",2289,"38,123",1214,-16.09%,4.18%,253.79%,-3.09%,48.59%,45.41%,6.00%,1.29%,1,0,1,"22,075","16,615",647,"39,337",56.12%,42.24%,1.64%,1.28%,1,1,70482,56456,70019,19.9,94.7,0.7,395,92.2,52053,4404,27.5,15525,11.8,131.7,2.6,50996,87.4
Manitowoc,47634,83.95%,"14,563","23,234",2194,"39,991",-8671,-28.62%,7.54%,259.67%,-6.16%,36.42%,58.10%,5.49%,1.36%,0,0,2,"20,403","21,604",610,"42,617",47.88%,50.69%,1.43%,1.39%,0,2,80160,63086,81442,21.3,94.8,0.7,442,91.8,57913,5173,18.7,11797,11.2,131.1,4.3,48881,138.3
Jefferson,50796,83.32%,"16,559","23,409",2356,"42,324",-6850,-17.85%,-0.46%,288.78%,-4.42%,39.12%,55.31%,5.57%,1.44%,0,0,1,"20,158","23,517",606,"44,281",45.52%,53.11%,1.37%,1.44%,0,2,84395,65237,83686,22.7,96.6,1,652,90.3,58909,6328,23,15005,9.3,90.3,3.3,53454,150.4
Dodge,50327,85.08%,"13,968","26,643",2207,"42,818",-12675,-25.55%,5.68%,328.54%,-3.75%,32.62%,62.22%,5.15%,1.45%,0,0,2,"18,762","25,211",515,"44,488",42.17%,56.67%,1.16%,1.45%,0,2,88574,70062,88759,20.9,95,3,2102,90.9,63686,6376,15.8,11070,10,30.3,5.3,53075,101.4
St. Croix,55099,84.97%,"17,496","26,123",3200,"46,819",-8627,-12.12%,2.43%,294.09%,1.29%,37.37%,55.80%,6.83%,1.59%,0,0,1,"19,910","25,503",812,"46,225",43.07%,55.17%,1.76%,1.51%,0,2,86759,63855,84345,26.4,96.5,0.7,447,94.6,60406,3448,33,21072,17.5,135.1,2,68426,116.8
Walworth,61083,82.79%,"18,706","28,848",3016,"50,570",-10142,-17.05%,-0.54%,304.83%,-3.31%,36.99%,57.05%,5.96%,1.72%,0,0,2,"22,552","29,006",745,"52,303",43.12%,55.46%,1.42%,1.70%,0,2,103527,80440,102228,22.3,96.1,1.2,965,85.9,69098,11342,26.2,21075,6.1,71.6,2.8,54020,184.2
