"","county","cand","votes.rec","votes.perc","cand.group"
"402","Shawano","Rocky Roque De La Fuente",19,0.1,"Other"
"403","Shawano","Gary Johnson",603,3.06,"Other"
"404","Shawano","Monica Moorehead",9,0.05,"Other"
"405","Shawano","Jill Stein",160,0.81,"Other"
"406","Shawano","Donald J. Trump",12742,64.69,"Trump"
"407","Sheboygan","Darrell Castle",360,0.62,"Other"
"408","Sheboygan","Hillary Clinton",22636,38.83,"Clinton"
"409","Sheboygan","Rocky Roque De La Fuente",19,0.03,"Other"
"410","Sheboygan","Gary Johnson",2320,3.98,"Other"
"411","Sheboygan","Monica Moorehead",49,0.08,"Other"
"412","Sheboygan","Jill Stein",538,0.92,"Other"
"413","Sheboygan","Donald J. Trump",32368,55.53,"Trump"
"414","St. Croix","Darrell Castle",266,0.57,"Other"
"415","St. Croix","Hillary Clinton",17496,37.37,"Clinton"
"416","St. Croix","Rocky Roque De La Fuente",62,0.13,"Other"
"417","St. Croix","Gary Johnson",2338,4.99,"Other"
"418","St. Croix","Monica Moorehead",21,0.04,"Other"
"419","St. Croix","Jill Stein",513,1.1,"Other"
"420","St. Croix","Donald J. Trump",26123,55.8,"Trump"
"421","Taylor","Darrell Castle",67,0.71,"Other"
"422","Taylor","Hillary Clinton",2398,25.46,"Clinton"
"423","Taylor","Rocky Roque De La Fuente",10,0.11,"Other"
"424","Taylor","Gary Johnson",279,2.96,"Other"
"425","Taylor","Monica Moorehead",7,0.07,"Other"
"426","Taylor","Jill Stein",67,0.71,"Other"
"427","Taylor","Donald J. Trump",6589,69.97,"Trump"
"428","Trempealeau","Darrell Castle",69,0.51,"Other"
"429","Trempealeau","Hillary Clinton",5645,41.57,"Clinton"
"430","Trempealeau","Rocky Roque De La Fuente",5,0.04,"Other"
"431","Trempealeau","Gary Johnson",372,2.74,"Other"
"432","Trempealeau","Monica Moorehead",6,0.04,"Other"
"433","Trempealeau","Jill Stein",114,0.84,"Other"
"434","Trempealeau","Donald J. Trump",7370,54.27,"Trump"
"435","Vernon","Darrell Castle",83,0.58,"Other"
"436","Vernon","Hillary Clinton",6351,44.75,"Clinton"
"437","Vernon","Rocky Roque De La Fuente",11,0.08,"Other"
"438","Vernon","Gary Johnson",447,3.15,"Other"
"439","Vernon","Monica Moorehead",11,0.08,"Other"
"440","Vernon","Jill Stein",296,2.09,"Other"
"441","Vernon","Donald J. Trump",6994,49.28,"Trump"
"442","Vilas","Darrell Castle",45,0.33,"Other"
"443","Vilas","Hillary Clinton",4769,35.45,"Clinton"
